feature,anova_score,pvalue
hsa-miR-181c-3p,8.14748823548646,0.010144540215523634
hsa-miR-454-3p,6.802036253046447,0.017284812594183976
hsa-miR-455-3p,4.826423002115204,0.040633214812232935
hsa-miR-542-3p,4.163225139253959,0.05545617261336505
hsa-miR-7848-3p,4.142547316131283,0.05600954241511878
hsa-miR-21-3p,4.116934374344427,0.056703813222500184
hsa-miR-222-3p,3.983714205692905,0.06047870547245205
hsa-miR-18a-3p,3.924942345532279,0.062235594903993635
hsa-miR-4435,3.8684304137934737,0.06398070098400872
hsa-miR-4732-3p,3.8525934032530844,0.06447984658428661
hsa-miR-365a-3p,3.701915911279226,0.06946108400041971
hsa-miR-365b-3p,3.701915911279226,0.06946108400041971
hsa-let-7f-5p,3.6355431706857977,0.0717957539225717
hsa-miR-3613-3p,3.4481174430762644,0.07889664941684517
hsa-miR-374a-5p,3.3374795644955633,0.08347140154641276
hsa-miR-942-5p,3.244297264926884,0.08756593530491699
hsa-miR-15b-5p,3.2342749731125915,0.08802015823679218
hsa-miR-7849-3p,3.2273065252268203,0.08833760230610459
hsa-miR-425-3p,3.2212904853305644,0.08861273807765628
hsa-miR-6508-3p,3.1677806558971664,0.09110461205984834
hsa-miR-4677-3p,3.1663774185705007,0.0911710553759737
hsa-miR-4728-3p,3.1567842139389866,0.09162681856381387
hsa-miR-3653,3.0676685387646545,0.09599089590948182
hsa-miR-30e-5p,3.054738737017082,0.09664416092176922
hsa-miR-128-3p,2.988521546895423,0.10007283493830983
hsa-miR-6511a-3p,2.9052852294494533,0.1045881757856043
hsa-miR-34c-5p,2.808669359972379,0.1101345584906152
hsa-miR-628-3p,2.7738541541817994,0.11221804173066366
hsa-miR-409-3p,2.7577794652321335,0.11319576916242874
hsa-miR-23a-3p,2.7226819802566227,0.11536590242164357
hsa-miR-125b-2-3p,2.6914010175771597,0.11734182330356348
hsa-miR-361-3p,2.6862648089339483,0.1176700950199751
hsa-miR-4755-3p,2.6851308319490004,0.11774271831750371
hsa-miR-410-3p,2.6747771652596417,0.11840827069734884
hsa-let-7a-5p,2.67265666854898,0.11854513187405305
hsa-miR-1294,2.5763986002505717,0.12496116827618291
hsa-miR-139-5p,2.5444919549583083,0.1271788041779749
hsa-miR-199b-3p,2.4945340294280016,0.13074643910400502
hsa-miR-1229-3p,2.4866927424853484,0.13131723518899727
hsa-miR-6852-3p,2.482031910456299,0.13165793023866423
hsa-miR-92a-3p,2.4807334076077336,0.13175303626593174
hsa-miR-450b-5p,2.4741153114206043,0.1322390467411016
hsa-miR-424-5p,2.462187405704799,0.13312043556332423
hsa-miR-320e,2.4482143369956697,0.13416193415997246
hsa-miR-320c,2.4464084350479336,0.13429725208060392
hsa-miR-99b-3p,2.418509038008432,0.1364087676003958
hsa-miR-369-3p,2.4025061158375736,0.13763793864912688
hsa-miR-589-5p,2.3987083672676945,0.13793159482441447
hsa-miR-30d-3p,2.3759610462460174,0.1397063831420779
hsa-miR-339-5p,2.3663207491022598,0.14046683185465483
hsa-miR-199a-3p,2.3358901665267853,0.14290023751870948
hsa-miR-429,2.3019407404644117,0.14567538064131547
hsa-miR-6802-5p,2.2895919710260495,0.1467009452736536
hsa-miR-6837-3p,2.289014242929971,0.14674913913171683
hsa-miR-487b-3p,2.2822297323918246,0.14731653695223845
hsa-miR-296-3p,2.2520179078732254,0.14987568784847055
hsa-miR-887-3p,2.246300902899044,0.15036600328501928
hsa-miR-205-3p,2.220556909843005,0.15259818774905093
hsa-miR-181b-3p,2.212122686069405,0.1533382315272791
hsa-miR-125b-5p,2.211345639279309,0.1534066310799656
hsa-miR-200b-3p,2.1931720011732283,0.15501699617978157
hsa-miR-150-3p,2.179805632151854,0.15621452572365505
hsa-miR-140-3p,2.1648332575638936,0.1575693447459744
hsa-miR-30c-1-3p,2.16257532627791,0.15777490033124034
hsa-miR-6787-5p,2.134656680592998,0.16034374943681454
hsa-miR-1277-5p,2.132858750022814,0.16051092294764527
hsa-let-7i-5p,2.0528319974878873,0.16817260262170233
hsa-miR-143-3p,2.039984316579841,0.16944401080257473
hsa-miR-148a-3p,2.016518252546831,0.17179683092503778
hsa-miR-412-5p,2.0051358116884925,0.17295255044232868
hsa-miR-4734,2.005093456870229,0.17295686878361982
hsa-miR-940,2.0004653628352025,0.17342953272296516
hsa-miR-92b-5p,1.9916297620176842,0.17433633045274752
hsa-miR-4443,1.9913773054933854,0.17436232575663188
hsa-miR-503-5p,1.9847593837947188,0.17504547582142463
hsa-miR-4746-5p,1.9841803609556041,0.17510540353740048
hsa-miR-6805-3p,1.978137735962373,0.17573231464677022
hsa-miR-663a,1.9448953914629015,0.17923109533984663
hsa-miR-30c-2-3p,1.9389735617030044,0.17986336947033751
hsa-miR-1262,1.9120018068757438,0.18277828845219068
hsa-miR-1292-3p,1.903274740701419,0.1837339536235081
hsa-miR-98-5p,1.8988380795998907,0.1842221684196836
hsa-miR-766-3p,1.8930018204791446,0.184866848649441
hsa-miR-6853-3p,1.8700751447048547,0.1874266174836968
hsa-miR-1249,1.8650251731217906,0.1879963523185876
hsa-miR-5701,1.8542677866569452,0.1892171901054112
hsa-miR-5588-5p,1.8448223627246136,0.19029727687513365
hsa-miR-4685-3p,1.824879850682051,0.19260304191618988
hsa-miR-584-5p,1.8192809898777043,0.19325663798315387
hsa-miR-132-5p,1.7967871881853004,0.1959105725573427
hsa-miR-7-5p,1.7823643346519122,0.19763623971229094
hsa-miR-148a-5p,1.7784002993322467,0.19811385703006668
hsa-miR-132-3p,1.7730706563536456,0.19875829275365361
hsa-miR-22-5p,1.7677907853340413,0.19939930084029323
hsa-miR-6850-3p,1.7647673276725542,0.1997675330762912
hsa-miR-190b,1.7603509825790928,0.2003069404739903
hsa-miR-193b-3p,1.7590033792909583,0.20047189868264056
hsa-miR-374a-3p,1.7575825671473309,0.20064600278369904
hsa-miR-493-3p,1.7394806521470672,0.2028808766528841
hsa-miR-337-3p,1.7383580184893042,0.2030205043058839
